source	target
The colouring and compositions of Veronese and Tintoretto had an immediate effect on Rubens 's painting , and his later , mature style was profoundly influenced by Titian .	subject <is> The colouring and compositions of Veronese and Tintoretto <and> relation <is> had an immediate effect on <and> object <is> Rubens's painting <then> subject <is> Rubens's later, mature style <and> relation <is> was profoundly influenced by <and> object <is> Titian <then> subject <is> Rubens's painting <and> relation <is> was influenced by <and> object <is> the colouring and compositions of Veronese and Tintoretto <then> subject <is> Rubens's later, mature style <and> relation <is> was influenced by <and> object <is> Titian <then> subject <is> the colouring and compositions of Veronese and Tintoretto <and> relation <is> had an immediate effect on <and> object <is> Rubens's painting
He became Sir David after being knighted in 1993 , and won numerous awards for his work throughout his time .	subject <is> He <and> relation <is> became <and> object <is> Sir David after being knighted in <then> subject <is> He <and> relation <is> won <and> object <is> numerous awards for his work throughout his time <then> subject <is> He <and> relation <is> was knighted in <and> object <is> 1993 <then> subject <is> He <and> relation <is> won numerous awards for <and> object <is> his work throughout his time
In the case of a humanitarian crisis as in Syria right now , does the U.S. ever have a moral obligation to intervene militarily even if it is not clearly in the U.S. interest ?	subject <is> The U.S. <and> relation <is> ever have <and> object <is> a moral obligation to intervene militarily <then> subject <is> The U.S. <and> relation <is> ever have a moral obligation to intervene militarily even if <and> object <is> it is not clearly in the U.S. interest <then> subject <is> a humanitarian crisis <and> relation <is> is in <and> object <is> Syria right now <then> subject <is> In the case of a humanitarian crisis <and> relation <is> as in <and> object <is> Syria right now
Under the new Marriage -LRB- Definition of Marriage -RRB- Amendment Act , marriage in New Zealand is now defined as `` the union of two people , regardless of their sex , sexual orientation , or gender identity '' .	"subject <is> marriage in New Zealand <and> relation <is> is now defined as <and> object <is> ""the union of two people"" <then> subject <is> marriage in New Zealand <and> relation <is> is now defined as ""the union of two people"" regardless of <and> object <is> their sex <then> subject <is> marriage in New Zealand <and> relation <is> is now defined as ""the union of two people"" regardless of <and> object <is> their sexual orientation <then> subject <is> marriage in New Zealand <and> relation <is> is now defined as ""the union of two people"" regardless of <and> object <is> their gender identity <then> subject <is> Under the new Marriage -LRB- Definition of Marriage -RRB- Amendment Act <and> relation <is> marriage in New Zealand is now defined as <and> object <is> ""the union of two people, regardless of their sex, sexual orientation, or gender identity"" "
When only 16 to 24 year-olds are included , Spain 's overall relative performance increases by two spots , as a result of beating out Italy and the United States .	subject <is> Spain's overall relative performance <and> relation <is> increases by <and> object <is> two spots <then> subject <is> Spain's overall relative performance <and> relation <is> increases as a result of <and> object <is> beating out Italy <then> subject <is> Spain's overall relative performance <and> relation <is> increases as a result of <and> object <is> beating out the United States <then> subject <is> Spain's overall relative performance <and> relation <is> increases by two spots when <and> object <is> only 16 to 24 year-olds are included <then> subject <is> only 16 to 24 year-olds <and> relation <is> are included in <and> object <is> Spain's overall relative performance
Three turnovers in the first quarter were especially costly for the Steelers , who lost 56 -- 43 .	subject <is> Three turnovers in the first quarter <and> relation <is> were especially costly for <and> object <is> the Steelers <then> subject <is> the Steelers <and> relation <is> lost <and> object <is> 56 -- 43 <then> subject <is> the Steelers <and> relation <is> lost the game <and> object <is> 56 -- 43
Louisville , Kentucky , about 35 miles south of Austin , was the first Kentucky municipal government to approve a needle exchange program .	subject <is> Louisville, Kentucky <and> relation <is> was <and> object <is> the first Kentucky municipal government to approve a needle exchange program <then> subject <is> Louisville, Kentucky <and> relation <is> is located <and> object <is> about 35 miles south of Austin <then> subject <is> Louisville, Kentucky <and> relation <is> was the first Kentucky municipal government to approve <and> object <is> a needle exchange program <then> subject <is> Louisville, Kentucky <and> relation <is> was <and> object <is> the first Kentucky municipal government <then> subject <is> the first Kentucky municipal government <and> relation <is> to approve <and> object <is> a needle exchange program <then> subject <is> the first Kentucky municipal government <and> relation <is> was located <and> object <is> in Louisville, Kentucky
When complaints are divided by a state 's total population , New Hampshire leads .	subject <is> New Hampshire <and> relation <is> leads <and> object <is> when complaints are divided by a state's total population <then> subject <is> complaints <and> relation <is> are divided by <and> object <is> a state's total population <then> subject <is> complaints <and> relation <is> are divided by a <and> object <is> state's total population
Yuriy Kolobov , the former finance minister of Ukraine has been arrested in Spain on charges of fraud and embezzlement .	subject <is> Yuriy Kolobov <and> relation <is> has been arrested in <and> object <is> Spain <then> subject <is> Yuriy Kolobov <and> relation <is> is the former finance minister of <and> object <is> Ukraine <then> subject <is> Yuriy Kolobov <and> relation <is> has been arrested on charges of <and> object <is> fraud <then> subject <is> Yuriy Kolobov <and> relation <is> has been arrested on charges of <and> object <is> embezzlement <then> subject <is> Yuriy Kolobov <and> relation <is> has been arrested on charges of fraud and <and> object <is> embezzlement
I had been approached by some folks out in Washington , D.C. , specifically that I have known for years and that had an interest in me considering that .	subject <is> I <and> relation <is> had been approached by <and> object <is> some folks out in Washington, D.C. <then> subject <is> some folks out in Washington, D.C. <and> relation <is> had an interest in <and> object <is> me <then> subject <is> I <and> relation <is> had known <and> object <is> some folks out in Washington, D.C. for years <then> subject <is> I <and> relation <is> had been approached by some folks out in Washington, D.C. <and> object <is> specifically that I have known for years and had an interest in <then> subject <is> some folks <and> relation <is> had an interest in me considering <and> object <is> that
Cold brew coffee is made by steeping coarsely ground beans in cold water for several hours , then filtering them .	subject <is> Cold brew coffee <and> relation <is> is made by <and> object <is> steeping coarsely ground beans in cold water for several hours <then> subject <is> Cold brew coffee <and> relation <is> is made by <and> object <is> filtering them <then> subject <is> coarsely ground beans <and> relation <is> are steeped in <and> object <is> cold water <then> subject <is> cold water <and> relation <is> is used for <and> object <is> several hours <then> subject <is> Cold brew coffee <and> relation <is> involves <and> object <is> the filtering of them <then> subject <is> Cold brew coffee <and> relation <is> is made by steeping coarsely ground beans in cold water for <and> object <is> several hours
Pupils in England , Wales , and Northern Ireland currently sit GCSEs .	subject <is> Pupils <and> relation <is> sit <and> object <is> GCSEs in England, Wales, and Northern Ireland <then> subject <is> Pupils in England, Wales, and Northern Ireland <and> relation <is> sit <and> object <is> GCSEs
Extensive human rights abuses still occur in several parts of Africa , often under the oversight of the state .	subject <is> Extensive human rights abuses <and> relation <is> still occur in <and> object <is> several parts of Africa <then> subject <is> Extensive human rights abuses <and> relation <is> occur under <and> object <is> the oversight of the state <then> subject <is> Extensive human rights abuses <and> relation <is> still occur under <and> object <is> the oversight of the state <then> subject <is> the oversight of the state <and> relation <is> is in <and> object <is> several parts of Africa
Williams ' selection is unique amongst Australians as most Australians who have played in the NFL have been kickers .	subject <is> Williams' selection <and> relation <is> is unique amongst <and> object <is> Australians <then> subject <is> Most Australians who have played in the NFL <and> relation <is> have been <and> object <is> kickers <then> subject <is> Williams' selection <and> relation <is> is unique amongst Australians as <and> object <is> most Australians who have played in
Free sunscreen was given to the crowd .	subject <is> Free sunscreen <and> relation <is> was given to <and> object <is> the crowd
4,600 of those evacuated in this way were Indian , with citizens of Western countries rescued , including Britain , France , and the United States among others .	subject <is> 4,600 of those evacuated in this way <and> relation <is> were <and> object <is> Indian <then> subject <is> citizens of Western countries <and> relation <is> were rescued <and> object <is> including Britain <then> subject <is> citizens of Western countries <and> relation <is> were rescued <and> object <is> including France <then> subject <is> citizens of Western countries <and> relation <is> were rescued <and> object <is> including the United States <then> subject <is> 4,600 of those evacuated in this way <and> relation <is> were <and> object <is> Indian with citizens of Western countries rescued among others <then> subject <is> citizens of Western countries <and> relation <is> were rescued <and> object <is> among others
Usually such music was associated with annual festivals , when the year 's crop was harvested and several days were set aside for celebration .	subject <is> such music <and> relation <is> was associated with <and> object <is> annual festivals <then> subject <is> annual festivals <and> relation <is> were set aside for <and> object <is> celebration <then> subject <is> the year's crop <and> relation <is> was harvested during <and> object <is> annual festivals <then> subject <is> the year's crop <and> relation <is> was harvested during <and> object <is> when the year 's crop was harvested <then> subject <is> annual festivals <and> relation <is> were associated with <and> object <is> the year's crop <then> subject <is> annual festivals <and> relation <is> were associated with <and> object <is> several days <then> subject <is> several days <and> relation <is> were set aside for <and> object <is> celebration <then> subject <is> annual festivals <and> relation <is> were set aside for <and> object <is> several days
The basic units of the breast are the terminal duct lobular units -LRB- TDLUs -RRB- , which produce the fatty breast milk .	subject <is> The basic units of the breast <and> relation <is> are <and> object <is> the terminal duct lobular units <then> subject <is> The basic units of the breast <and> relation <is> are <and> object <is> TDLUs <then> subject <is> TDLUs <and> relation <is> produce <and> object <is> the fatty breast milk <then> subject <is> terminal duct lobular units <and> relation <is> produce <and> object <is> the fatty breast milk <then> subject <is> terminal duct lobular units <and> relation <is> are <and> object <is> TDLUs
Latin American poets of the 20th century who wrote prose poems include Octavio Paz and Giannina Braschi	subject <is> Latin American poets of the 20th century <and> relation <is> wrote prose poems <and> object <is> include Octavio Paz <then> subject <is> Latin American poets of the 20th century <and> relation <is> wrote prose poems <and> object <is> include Giannina Braschi <then> subject <is> Latin American poets of the 20th century <and> relation <is> wrote <and> object <is> prose poems <then> subject <is> Octavio Paz <and> relation <is> is <and> object <is> a Latin American poet of the 20th century <then> subject <is> Giannina Braschi <and> relation <is> is <and> object <is> a Latin American poet of the 20th century
And she and I play my guitar and sing every night .	subject <is> She and I <and> relation <is> play <and> object <is> my guitar <then> subject <is> She and I <and> relation <is> sing <and> object <is> every night <then> subject <is> She and I <and> relation <is> play my guitar and sing <and> object <is> every night
Their study was published in Scientific Reports on July 28 , and covered in Nevada 's Review journal this Saturday .	subject <is> Their study <and> relation <is> was published in <and> object <is> Scientific Reports <then> subject <is> Their study <and> relation <is> was published on <and> object <is> July 28 <then> subject <is> Their study <and> relation <is> was covered in <and> object <is> Nevada's Review journal <then> subject <is> Their study <and> relation <is> was covered in Nevada's Review journal this Saturday <and> object <is> on July 28 <then> subject <is> Their study <and> relation <is> was covered in <and> object <is> Nevada's Review journal <then> subject <is> This Saturday <and> relation <is> was <and> object <is> the day it was covered in Nevada's Review journal
While this was considered a controversial method at the time , she succeeded .	subject <is> She <and> relation <is> succeeded <and> object <is> while this was considered a controversial method at the time
It is mind boggling to me that since 2008 the United States government has added a trillion dollars in national debt each and every year .	subject <is> It <and> relation <is> is mind boggling to me that <and> object <is> since 2008 the United States government has added a trillion dollars in national debt each and every year <then> subject <is> the United States government <and> relation <is> has added <and> object <is> a trillion dollars in national debt <then> subject <is> the United States government <and> relation <is> has added a trillion dollars in <and> object <is> national debt <then> subject <is> a trillion dollars <and> relation <is> in national debt <and> object <is> each and every year <then> subject <is> national debt <and> relation <is> has been added by <and> object <is> the United States government <then> subject <is> national debt <and> relation <is> has been added <and> object <is> since 2008
Nigerian President Goodluck Jonathan described the incident as a `` dastardly attack '' .	"subject <is> Nigerian President Goodluck Jonathan <and> relation <is> described <and> object <is> the incident as a "" dastardly attack "" "
Istanbul 2020 has a technically outstanding master plan and delivery structure , and we would grab the world 's attention with a breathtaking setting and a series of groundbreaking firsts , such as being the first ever Games held in two continents simultaneously .	subject <is> Istanbul 2020 <and> relation <is> has <and> object <is> a technically outstanding master plan <then> subject <is> Istanbul 2020 <and> relation <is> has <and> object <is> a delivery structure <then> subject <is> we <and> relation <is> would grab <and> object <is> the world's attention <then> subject <is> we <and> relation <is> would grab the world's attention with <and> object <is> a breathtaking setting <then> subject <is> we <and> relation <is> would grab the world's attention with <and> object <is> a series of groundbreaking firsts <then> subject <is> a series of groundbreaking firsts <and> relation <is> includes <and> object <is> being the first ever Games held in <then> subject <is> the first ever Games <and> relation <is> held in <and> object <is> two continents simultaneously <then> subject <is> Istanbul 2020 <and> relation <is> has a technically outstanding master plan and delivery structure <and> object <is> and we would grab the world's attention with a breathtaking setting and a series of groundbreaking firsts
Nearly all mammaliaforms possess an epipubic bone , the exception being modern placentals .	subject <is> Nearly all mammaliaforms <and> relation <is> possess <and> object <is> an epipubic bone <then> subject <is> modern placentals <and> relation <is> are the exception being <and> object <is> the epipubic bone <then> subject <is> modern placentals <and> relation <is> are the exception being <and> object <is> nearly all mammaliaforms <then> subject <is> Nearly all mammaliaforms <and> relation <is> possess an epipubic bone <and> object <is> the exception being modern placentals
According to Economic Planning Secretary Arsenio Balisacan , strong domestic demand from the services sector and spending from money remitted by expatriate Filipinos helped boost the nation 's economy despite the ongoing global economic crisis .	subject <is> Economic Planning Secretary Arsenio Balisacan <and> relation <is> stated <and> object <is> that strong domestic demand from the services sector helped boost the nation's economy <then> subject <is> strong domestic demand from the services sector <and> relation <is> helped boost <and> object <is> the nation's economy <then> subject <is> spending from money remitted by expatriate Filipinos <and> relation <is> helped boost <and> object <is> the nation's economy <then> subject <is> strong domestic demand from the services sector and spending from money remitted by expatriate Filipinos <and> relation <is> helped boost <and> object <is> the nation's economy <then> subject <is> Economic Planning Secretary Arsenio Balisacan <and> relation <is> stated that strong domestic demand from the services sector and spending from money remitted by expatriate Filipinos helped boost the nation's economy despite <and> object <is> the ongoing global economic crisis <then> subject <is> the ongoing global economic crisis <and> relation <is> was occurring <and> object <is> during this time
Reductions in natural wealth may reduce incentives for tourists to visit .	subject <is> Reductions in natural wealth <and> relation <is> may reduce <and> object <is> incentives for tourists to visit <then> subject <is> Reductions in natural wealth <and> relation <is> may reduce incentives for <and> object <is> tourists to visit <then> subject <is> incentives <and> relation <is> for <and> object <is> tourists to visit
Reduction of / j / and / w / between vowels occurs in a number of circumstances and is responsible for much of the complexity of third-weak -LRB- `` defective '' -RRB- verbs .	"subject <is> Reduction of / j / and / w / <and> relation <is> occurs in <and> object <is> a number of circumstances <then> subject <is> Reduction of / j / and / w / <and> relation <is> is responsible for <and> object <is> much of the complexity of third-weak -LRB- ""defective"" -RRB- verbs <then> subject <is> Reduction of / j / and / w / between vowels <and> relation <is> occurs in <and> object <is> a number of circumstances <then> subject <is> Reduction of / j / and / w / between vowels <and> relation <is> is responsible for <and> object <is> much of the complexity of third-weak -LRB- ""defective"" -RRB- verbs <then> subject <is> a number of circumstances <and> relation <is> is responsible for much of <and> object <is> the complexity of third-weak -LRB- ""defective"" -RRB- verbs <then> subject <is> Reduction of / j / and / w / between vowels <and> relation <is> is responsible for <and> object <is> much of the complexity of third-weak verbs "
Nazi official Hans Frank suggested that Alois 's mother had been employed as a housekeeper by a Jewish family in Graz , and that the family 's 19-year-old son Leopold Frankenberger had fathered Alois .	subject <is> Hans Frank <and> relation <is> suggested that <and> object <is> Alois's mother had been employed as a housekeeper by a Jewish family in Graz <then> subject <is> Hans Frank <and> relation <is> suggested that <and> object <is> the family 's 19-year-old son Leopold Frankenberger had fathered Alois <then> subject <is> Alois's mother <and> relation <is> had been employed as <and> object <is> a housekeeper by a Jewish family in Graz <then> subject <is> the family 's 19-year-old son Leopold Frankenberger <and> relation <is> had fathered <and> object <is> Alois <then> subject <is> the family <and> relation <is> employed <and> object <is> Alois's mother as a housekeeper <then> subject <is> the family <and> relation <is> had <and> object <is> a 19-year-old son Leopold Frankenberger
Like , Alex Jones is a good example of the two , Alex Jones is a person who shaped something up like that , in the same way that The Young Turks did , where it 's about news and media but he did his own thing , and with the help of the internet , which is was `` new media '' usually refers to nowadays , internet media has been booming because of people like him ; they built a whole system around it , and that 's fascinating .	"subject <is> Alex Jones <and> relation <is> is <and> object <is> a good example of the two <then> subject <is> Alex Jones <and> relation <is> is <and> object <is> a person who shaped something up like that <then> subject <is> Alex Jones <and> relation <is> did <and> object <is> his own thing <then> subject <is> The Young Turks <and> relation <is> did <and> object <is> the same thing <then> subject <is> the internet <and> relation <is> which is <and> object <is> what ""new media"" usually refers to nowadays <then> subject <is> internet media <and> relation <is> has been booming because of <and> object <is> people like him <then> subject <is> people like him <and> relation <is> built <and> object <is> a whole system around it <then> subject <is> that <and> relation <is> is <and> object <is> fascinating <then> subject <is> the help of the Internet <and> relation <is> has been <and> object <is> a factor in his success <then> subject <is> Alex Jones <and> relation <is> shaped <and> object <is> something up like that in the same way that "
More recently , seismologists have been able to create detailed images of wave speeds inside the earth in the same way a doctor images a body in a CT scan .	subject <is> seismologists <and> relation <is> have been able to create <and> object <is> detailed images of wave speeds inside the earth <then> subject <is> seismologists <and> relation <is> have been able to create detailed images of wave speeds inside the earth in the same way <and> object <is> a doctor images a body in a CT scan <then> subject <is> a doctor <and> relation <is> images <and> object <is> a body in a CT scan <then> subject <is> seismologists <and> relation <is> have been able to create detailed images <and> object <is> of wave speeds inside the earth <then> subject <is> seismologists <and> relation <is> have been able to create detailed images of wave speeds inside the earth in the same way a doctor <and> object <is> images a body in a CT scan
Beyond regional variance in complaint types lodged , the top five mortgage lenders by volume of complaints all had being unable to pay as their top complaint category , ranging between 55.8 % for Citibank and 69.4 % for Bank of America .	subject <is> The top five mortgage lenders by volume of complaints <and> relation <is> all had being unable to pay as <and> object <is> their top complaint category <then> subject <is> The top five mortgage lenders by volume of complaints <and> relation <is> ranged between <and> object <is> 55.8 % for Citibank <then> subject <is> The top five mortgage lenders by volume of complaints <and> relation <is> ranged between <and> object <is> 69.4 % for Bank of America <then> subject <is> Citibank <and> relation <is> had <and> object <is> 55.8 % as their top complaint category <then> subject <is> Bank of America <and> relation <is> had <and> object <is> 69.4 % as their top complaint category <then> subject <is> being unable to pay <and> relation <is> was <and> object <is> their top complaint category <then> subject <is> regional variance in complaint types <and> relation <is> was in <and> object <is> complaint types lodged <then> subject <is> complaints lodged <and> relation <is> involved <and> object <is> the top five mortgage lenders
The President was finding it impossible to please everyone , and instead , basically said sort out what you want me to do .	subject <is> The President <and> relation <is> was finding it <and> object <is> impossible to please everyone <then> subject <is> The President <and> relation <is> basically said <and> object <is> sort out what you want me to do <then> subject <is> The President <and> relation <is> was finding it impossible to please everyone <and> object <is> and instead <then> subject <is> you <and> relation <is> want me to do <and> object <is> what <then> subject <is> you <and> relation <is> sort out <and> object <is> what you want me to do
Governor Pence declared the outbreak a public health emergency on March 26 , and at the same time approved a 30-day needle exchange program .	subject <is> Governor Pence <and> relation <is> declared <and> object <is> the outbreak a public health emergency <then> subject <is> Governor Pence <and> relation <is> declared the outbreak a <and> object <is> public health emergency on <then> subject <is> Governor Pence <and> relation <is> approved <and> object <is> a 30-day needle exchange program <then> subject <is> Governor Pence <and> relation <is> approved a 30-day needle exchange program on <and> object <is> March 26 <then> subject <is> Governor Pence <and> relation <is> declared the outbreak a public health emergency on <and> object <is> March 26 <then> subject <is> Governor Pence <and> relation <is> approved a 30-day needle exchange program on <and> object <is> March 26
In 1593 , Akbar began military operations against the Deccan Sultans who had not submitted to his authority .	subject <is> Akbar <and> relation <is> began <and> object <is> military operations against the Deccan Sultans <then> subject <is> Akbar <and> relation <is> began military operations against <and> object <is> the Deccan Sultans <then> subject <is> the Deccan Sultans <and> relation <is> had not submitted to <and> object <is> his authority <then> subject <is> Akbar <and> relation <is> began military operations in <and> object <is> 1593 <then> subject <is> Akbar <and> relation <is> began military operations against the Deccan Sultans who <and> object <is> had not submitted to his authority
Ryanair issued a statement confirming legal proceedings have been begun against Goss .	subject <is> Ryanair <and> relation <is> issued <and> object <is> a statement <then> subject <is> a statement <and> relation <is> confirming <and> object <is> legal proceedings <then> subject <is> legal proceedings <and> relation <is> have been begun against <and> object <is> Goss <then> subject <is> Ryanair <and> relation <is> issued a statement confirming <and> object <is> legal proceedings have been begun against Goss
It shows how nervous they are of a Labour campaign full of confidence , which is showing that it understands the challenges facing working people and how to overcome them .	subject <is> It <and> relation <is> shows how nervous they are of <and> object <is> a Labour campaign full of confidence <then> subject <is> a Labour campaign <and> relation <is> is showing that <and> object <is> it understands the challenges facing working people <then> subject <is> a Labour campaign <and> relation <is> is showing that <and> object <is> how to overcome them <then> subject <is> It <and> relation <is> shows how nervous they are of a Labour campaign <and> object <is> full of confidence <then> subject <is> It <and> relation <is> shows that <and> object <is> it understands the challenges facing working people <then> subject <is> It <and> relation <is> shows how nervous they are of a Labour campaign full of <and> object <is> confidence <then> subject <is> It <and> relation <is> shows that it understands <and> object <is> the challenges facing working people <then> subject <is> It <and> relation <is> shows how to overcome <and> object <is> them
`` Sireno '' means mermaid .	"subject <is> ""Sireno"" <and> relation <is> means <and> object <is> mermaid "
Groundwater is also extracted artificially in wells .	subject <is> Groundwater <and> relation <is> is extracted artificially in <and> object <is> wells
Police yesterday requested Belgorod residents stay inside their homes .	subject <is> Police <and> relation <is> requested <and> object <is> Belgorod residents to stay inside their homes <then> subject <is> Police <and> relation <is> requested Belgorod residents to stay inside <and> object <is> their homes <then> subject <is> Belgorod residents <and> relation <is> stay inside <and> object <is> their homes <then> subject <is> Police <and> relation <is> requested Belgorod residents <and> object <is> stay inside their homes <then> subject <is> yesterday <and> relation <is> the request was made by <and> object <is> Police
-LRB- -LRB- WN -RRB- -RRB- Blind sports is the only medically based classification left .	subject <is> Blind sports <and> relation <is> is <and> object <is> the only medically based classification left <then> subject <is> the only medically based classification left <and> relation <is> is <and> object <is> Blind sports
The complaint alleged `` goons from a reputed political party walked over bodies of the women after switching the lights off '' .	subject <is> The complaint <and> relation <is> alleged <and> object <is> `` goons from a reputed political party walked over bodies of the women after switching the lights off '' <then> subject <is> goons from a reputed political party <and> relation <is> walked over <and> object <is> bodies of the women <then> subject <is> goons from a reputed political party <and> relation <is> switched off <and> object <is> the lights <then> subject <is> bodies of the women <and> relation <is> walked over by <and> object <is> goons from a reputed political party
Professor Vences proposed me to associate our complementary fields of expertise : he is expert in herpetology for Madagascar , and I am expert in skinks lizards -LRB- family Scincidae -RRB- .	subject <is> Professor Vences <and> relation <is> proposed me to associate <and> object <is> our complementary fields of expertise <then> subject <is> Professor Vences <and> relation <is> is expert in <and> object <is> herpetology for Madagascar <then> subject <is> I <and> relation <is> am expert in <and> object <is> skinks lizards -LRB- family Scincidae -RRB- <then> subject <is> Professor Vences <and> relation <is> is expert in herpetology <and> object <is> for Madagascar <then> subject <is> I <and> relation <is> am expert in skinks lizards <and> object <is> family Scincidae <then> subject <is> Our complementary fields of expertise <and> relation <is> include <and> object <is> herpetology for Madagascar <then> subject <is> Our complementary fields of expertise <and> relation <is> include <and> object <is> skinks lizards -LRB- family Scincidae -RRB-
He told an aide that the rebel generals `` will not find de Gaulle in their baggage '' .	subject <is> He <and> relation <is> told <and> object <is> an aide <then> subject <is> He <and> relation <is> told an aide that <and> object <is> the rebel generals `` will not find de Gaulle in their baggage '' <then> subject <is> the rebel generals <and> relation <is> will not find <and> object <is> de Gaulle <then> subject <is> the rebel generals <and> relation <is> will not find de Gaulle in <and> object <is> their baggage <then> subject <is> He <and> relation <is> told an aide that the rebel generals <and> object <is> will not find de Gaulle in their baggage
I feel sad for those who will lose the grandfather and father they loved .	subject <is> I <and> relation <is> feel sad for <and> object <is> those who will lose the grandfather and father they loved <then> subject <is> I <and> relation <is> feel sad for those who <and> object <is> will lose the grandfather and father they loved <then> subject <is> those who <and> relation <is> will lose <and> object <is> the grandfather and father they loved <then> subject <is> those who <and> relation <is> will lose the grandfather and father <and> object <is> they loved <then> subject <is> those who <and> relation <is> loved <and> object <is> the grandfather and father <then> subject <is> the grandfather and father <and> relation <is> they loved <and> object <is> the grandfather and father
Ludwig installed Wagner at the Villa Tribschen , beside Switzerland 's Lake Lucerne .	subject <is> Ludwig <and> relation <is> installed <and> object <is> Wagner at the Villa Tribschen <then> subject <is> Ludwig <and> relation <is> installed Wagner at <and> object <is> the Villa Tribschen <then> subject <is> Wagner <and> relation <is> was installed at <and> object <is> the Villa Tribschen <then> subject <is> the Villa Tribschen <and> relation <is> is located beside <and> object <is> Switzerland's Lake Lucerne <then> subject <is> Ludwig <and> relation <is> installed Wagner beside <and> object <is> Switzerland's Lake Lucerne <then> subject <is> Ludwig <and> relation <is> installed Wagner at the Villa Tribschen beside <and> object <is> Switzerland's Lake Lucerne
State-run newsmedia said numerous .	subject <is> State-run newsmedia <and> relation <is> said <and> object <is> numerous
SH : No , clearly the American public is not in favour of intervening in Syria .	subject <is> The American public <and> relation <is> is not in favour of <and> object <is> intervening in Syria <then> subject <is> SH <and> relation <is> said <and> object <is> the American public is not in favour of intervening in Syria <then> subject <is> SH <and> relation <is> stated <and> object <is> that the American public is not in favour of intervening in Syria
Tokyo Electric Power Company , owner of the Fukushima Nuclear Power Plant in Japan , has for the first time released figures on how much radioactive waste the facility has emitted , since being damaged by a 9.0 magnitude earthquake on March 11 , 2011 .	subject <is> Tokyo Electric Power Company <and> relation <is> is owner of <and> object <is> the Fukushima Nuclear Power Plant in Japan <then> subject <is> Tokyo Electric Power Company <and> relation <is> has released figures on <and> object <is> how much radioactive waste the facility has emitted <then> subject <is> the facility <and> relation <is> has emitted <and> object <is> how much radioactive waste <then> subject <is> Tokyo Electric Power Company <and> relation <is> has released figures on <and> object <is> how much radioactive waste <then> subject <is> facility <and> relation <is> has been damaged by <and> object <is> a 9.0 magnitude earthquake <then> subject <is> the facility <and> relation <is> has been damaged by the earthquake on <and> object <is> March 11, 2011 <then> subject <is> Tokyo Electric Power Company <and> relation <is> has released figures <and> object <is> for the first time
Scandinavian bodyguards of the Byzantine emperors were known as the Varangian Guard .	subject <is> Scandinavian bodyguards <and> relation <is> were known as <and> object <is> the Varangian Guard <then> subject <is> Varangian Guard <and> relation <is> was known as <and> object <is> Scandinavian bodyguards of the Byzantine emperors <then> subject <is> Scandinavian bodyguards of the Byzantine emperors <and> relation <is> were known as <and> object <is> Varangian Guard
Yesterday , Russian forces surrounded a Crimean Ukrainian military base .	subject <is> Russian forces <and> relation <is> surrounded <and> object <is> a Crimean Ukrainian military base <then> subject <is> a Crimean Ukrainian military base <and> relation <is> was surrounded by <and> object <is> Russian forces <then> subject <is> Yesterday <and> relation <is> Russian forces surrounded <and> object <is> a Crimean Ukrainian military base
Following the second full day of competition at the IPC Alpine World Championships in La Molina , Spain yesterday , Austria led the medal race with three gold medals , a silver , and a bronze .	subject <is> Austria <and> relation <is> led <and> object <is> the medal race <then> subject <is> Austria <and> relation <is> led the medal race with <and> object <is> three gold medals <then> subject <is> Austria <and> relation <is> led the medal race with <and> object <is> a silver <then> subject <is> Austria <and> relation <is> led the medal race with <and> object <is> a bronze <then> subject <is> the IPC Alpine World Championships <and> relation <is> took place in <and> object <is> La Molina <then> subject <is> the IPC Alpine World Championships <and> relation <is> took place in the <and> object <is> Spain <then> subject <is> the second full day of competition <and> relation <is> was at <and> object <is> the IPC Alpine World Championships <then> subject <is> the second full day of competition <and> relation <is> was at the IPC Alpine World Championships in <and> object <is> La Molina <then> subject <is> the second full day of competition <and> relation <is> was at the IPC Alpine World Championships in La Molina <and> object <is> Spain <then> subject <is> Austria <and> relation <is> led the medal race with <and> object <is> three gold medals, a silver, and a bronze after the second full day of competition at the IPC Alpine World Championships in
He is accused of leaking classified information and there is no question his actions have inflicted serious harms on our national security '' .	subject <is> He <and> relation <is> is accused of <and> object <is> leaking classified information <then> subject <is> His actions <and> relation <is> have inflicted <and> object <is> serious harms on our national security <then> subject <is> There <and> relation <is> is no question <and> object <is> that his actions have inflicted serious harms on our national security <then> subject <is> He <and> relation <is> is accused of leaking classified information and <and> object <is> there is no question <then> subject <is> His actions <and> relation <is> have inflicted serious harms on <and> object <is> our national security
As she was led to the scaffold , Madame Roland shouted `` O liberty !	subject <is> Madame Roland <and> relation <is> was led to <and> object <is> the scaffold <then> subject <is> Madame Roland <and> relation <is> shouted <and> object <is> `` O liberty !''
